employee_id,is_selected,shap_values
EMP0262,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0133,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0130,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0173,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0362,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0356,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0184,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0384,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0458,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0071,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0377,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0136,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0371,TRUE,"Days_since_last_reward(0.0245), Days_since_last_activity(0.0142), Days_since_joining(0.0141), Annual_Leaves(0.0120), Mentor_Assigned(0.0104), Casual_Leaves(0.0090), Average_Work_Hours(0.0076), Latest_Work_Hours(0.0028), Total_Reward_Points(0.0021), Unpaid_Leaves(0.0021)"
EMP0260,TRUE,"Days_since_last_reward(0.0388), Average_Reward_Points(0.0359), Latest_Work_Hours(0.0143), Latest_Performance_Rating(0.0105), Average_Work_Hours(0.0102), Average_Emails_Sent(0.0086), Total_Reward_Points(0.0069), Promotion_Consideration_Ratio(0.0060), Average_Performance_Rating(0.0052), Days_since_joining(0.0047)"
EMP0103,TRUE,"Latest_Work_Hours(0.0457), Average_Work_Hours(0.0219), Latest_Vibe_Score(0.0088), Average_Vibe_Score(0.0083), Average_Team_Messages_Sent(0.0079), Days_since_last_activity(0.0038), Onboarding_Feedback(0.0038), Average_Emails_Sent(0.0031), Initial_Training_Completed(0.0031), Total_Reward_Points(0.0025)"
EMP0387,TRUE,"Latest_Vibe_Score(0.0619), Average_Vibe_Score(0.0331), Days_since_last_activity(0.0183), Average_Team_Messages_Sent(0.0128), Days_since_last_leave(0.0124), Days_since_last_reward(0.0123), Average_Emails_Sent(0.0054), Average_Reward_Points(0.0050), Total_Reward_Points(0.0037), Total_Rewards_Received(0.0032)"
EMP0127,TRUE,"Days_since_last_reward(0.0245), Days_since_last_activity(0.0142), Days_since_joining(0.0141), Annual_Leaves(0.0120), Mentor_Assigned(0.0104), Casual_Leaves(0.0090), Average_Work_Hours(0.0076), Latest_Work_Hours(0.0028), Total_Reward_Points(0.0021), Unpaid_Leaves(0.0021)"
EMP0151,TRUE,"Days_since_joining(0.0445), Average_Emails_Sent(0.0228), Onboarding_Feedback(0.0198), Latest_Performance_Rating(0.0141), Average_Manager_Feedback_Score(0.0108), Latest_Work_Hours(0.0103), Promotion_Consideration_Ratio(0.0090), Days_since_last_activity(0.0069), Latest_Promotion_Consideration(0.0066), Average_Performance_Rating(0.0066)"
EMP0013,TRUE,"Latest_Vibe_Score(0.0665), Average_Work_Hours(0.0560), Days_since_joining(0.0394), Latest_Work_Hours(0.0237), Latest_Promotion_Consideration(0.0200), Average_Team_Messages_Sent(0.0190), Promotion_Consideration_Ratio(0.0177), Average_Vibe_Score(0.0168), Latest_Performance_Rating(0.0149), Days_since_last_activity(0.0111)"
EMP0111,TRUE,"Latest_Vibe_Score(0.0622), Average_Vibe_Score(0.0480), Annual_Leaves(0.0199), Days_since_joining(0.0097), Days_since_last_activity(0.0079), Days_since_last_leave(0.0078), Unpaid_Leaves(0.0045), Sick_Leaves(0.0038), Average_Team_Messages_Sent(0.0036), Latest_Work_Hours(0.0020)"
EMP0031,TRUE,"Latest_Work_Hours(0.0457), Average_Work_Hours(0.0219), Latest_Vibe_Score(0.0088), Average_Vibe_Score(0.0083), Average_Team_Messages_Sent(0.0079), Days_since_last_activity(0.0038), Onboarding_Feedback(0.0038), Average_Emails_Sent(0.0031), Initial_Training_Completed(0.0031), Total_Reward_Points(0.0025)"
EMP0319,TRUE,"Average_Vibe_Score(0.0840), Casual_Leaves(0.0264), Days_since_last_activity(0.0250), Latest_Vibe_Score(0.0214), Average_Team_Messages_Sent(0.0172), Sick_Leaves(0.0130), Average_Performance_Rating(0.0126), Average_Work_Hours(0.0104), Average_Emails_Sent(0.0103), Latest_Work_Hours(0.0075)"
EMP0488,TRUE,"Mentor_Assigned(0.0219), Onboarding_Feedback(0.0182), Average_Vibe_Score(0.0146), Latest_Vibe_Score(0.0130), Days_since_last_reward(0.0101), Unpaid_Leaves(0.0057), Days_since_last_leave(0.0043), Total_Rewards_Received(0.0038), Days_since_joining(0.0021), Initial_Training_Completed(0.0000)"
EMP0433,TRUE,"Days_since_last_reward(0.0388), Average_Reward_Points(0.0359), Latest_Work_Hours(0.0143), Latest_Performance_Rating(0.0105), Average_Work_Hours(0.0102), Average_Emails_Sent(0.0086), Total_Reward_Points(0.0069), Promotion_Consideration_Ratio(0.0060), Average_Performance_Rating(0.0052), Days_since_joining(0.0047)"
EMP0365,TRUE,"Days_since_last_reward(0.0245), Days_since_last_activity(0.0142), Days_since_joining(0.0141), Annual_Leaves(0.0120), Mentor_Assigned(0.0104), Casual_Leaves(0.0090), Average_Work_Hours(0.0076), Latest_Work_Hours(0.0028), Total_Reward_Points(0.0021), Unpaid_Leaves(0.0021)"
EMP0393,TRUE,"Promotion_Consideration_Ratio(0.0822), Latest_Promotion_Consideration(0.0706), Latest_Vibe_Score(0.0609), Average_Vibe_Score(0.0156), Days_since_joining(0.0153), Latest_Performance_Rating(0.0127), Days_since_last_leave(0.0110), Mentor_Assigned(0.0082), Annual_Leaves(0.0077), Average_Performance_Rating(0.0073)"
EMP0283,TRUE,"Latest_Vibe_Score(0.0619), Average_Vibe_Score(0.0331), Days_since_last_activity(0.0183), Average_Team_Messages_Sent(0.0128), Days_since_last_leave(0.0124), Days_since_last_reward(0.0123), Average_Emails_Sent(0.0054), Average_Reward_Points(0.0050), Total_Reward_Points(0.0037), Total_Rewards_Received(0.0032)"
EMP0215,TRUE,"Latest_Vibe_Score(0.0622), Average_Vibe_Score(0.0480), Annual_Leaves(0.0199), Days_since_joining(0.0097), Days_since_last_activity(0.0079), Days_since_last_leave(0.0078), Unpaid_Leaves(0.0045), Sick_Leaves(0.0038), Average_Team_Messages_Sent(0.0036), Latest_Work_Hours(0.0020)"
EMP0156,TRUE,"Latest_Vibe_Score(0.0970), Average_Vibe_Score(0.0906), Days_since_joining(0.0289), Days_since_last_reward(0.0133), Average_Manager_Feedback_Score(0.0131), Total_Reward_Points(0.0126), Total_Rewards_Received(0.0100), Average_Reward_Points(0.0070), Average_Performance_Rating(0.0068), Latest_Performance_Rating(0.0062)"
EMP0203,TRUE,"Latest_Work_Hours(0.0457), Average_Work_Hours(0.0219), Latest_Vibe_Score(0.0088), Average_Vibe_Score(0.0083), Average_Team_Messages_Sent(0.0079), Days_since_last_activity(0.0038), Onboarding_Feedback(0.0038), Average_Emails_Sent(0.0031), Initial_Training_Completed(0.0031), Total_Reward_Points(0.0025)"
EMP0083,TRUE,"Average_Performance_Rating(0.0408), Latest_Performance_Rating(0.0330), Days_since_last_leave(0.0160), Average_Emails_Sent(0.0125), Days_since_last_reward(0.0087), Average_Reward_Points(0.0083), Average_Team_Messages_Sent(0.0060), Latest_Work_Hours(0.0055), Average_Manager_Feedback_Score(0.0040), Days_since_last_activity(0.0036)"
EMP0423,TRUE,"Promotion_Consideration_Ratio(0.0822), Latest_Promotion_Consideration(0.0706), Latest_Vibe_Score(0.0609), Average_Vibe_Score(0.0156), Days_since_joining(0.0153), Latest_Performance_Rating(0.0127), Days_since_last_leave(0.0110), Mentor_Assigned(0.0082), Annual_Leaves(0.0077), Average_Performance_Rating(0.0073)"
EMP0006,TRUE,"Latest_Vibe_Score(0.0665), Average_Work_Hours(0.0560), Days_since_joining(0.0394), Latest_Work_Hours(0.0237), Latest_Promotion_Consideration(0.0200), Average_Team_Messages_Sent(0.0190), Promotion_Consideration_Ratio(0.0177), Average_Vibe_Score(0.0168), Latest_Performance_Rating(0.0149), Days_since_last_activity(0.0111)"
EMP0312,TRUE,"Days_since_joining(0.0445), Average_Emails_Sent(0.0228), Onboarding_Feedback(0.0198), Latest_Performance_Rating(0.0141), Average_Manager_Feedback_Score(0.0108), Latest_Work_Hours(0.0103), Promotion_Consideration_Ratio(0.0090), Days_since_last_activity(0.0069), Latest_Promotion_Consideration(0.0066), Average_Performance_Rating(0.0066)"
EMP0119,TRUE,"Days_since_last_reward(0.0388), Average_Reward_Points(0.0359), Latest_Work_Hours(0.0143), Latest_Performance_Rating(0.0105), Average_Work_Hours(0.0102), Average_Emails_Sent(0.0086), Total_Reward_Points(0.0069), Promotion_Consideration_Ratio(0.0060), Average_Performance_Rating(0.0052), Days_since_joining(0.0047)"
EMP0141,TRUE,"Days_since_joining(0.0445), Average_Emails_Sent(0.0228), Onboarding_Feedback(0.0198), Latest_Performance_Rating(0.0141), Average_Manager_Feedback_Score(0.0108), Latest_Work_Hours(0.0103), Promotion_Consideration_Ratio(0.0090), Days_since_last_activity(0.0069), Latest_Promotion_Consideration(0.0066), Average_Performance_Rating(0.0066)"
EMP0482,TRUE,"Days_since_joining(0.0445), Average_Emails_Sent(0.0228), Onboarding_Feedback(0.0198), Latest_Performance_Rating(0.0141), Average_Manager_Feedback_Score(0.0108), Latest_Work_Hours(0.0103), Promotion_Consideration_Ratio(0.0090), Days_since_last_activity(0.0069), Latest_Promotion_Consideration(0.0066), Average_Performance_Rating(0.0066)"
EMP0163,TRUE,"Latest_Vibe_Score(0.0619), Average_Vibe_Score(0.0331), Days_since_last_activity(0.0183), Average_Team_Messages_Sent(0.0128), Days_since_last_leave(0.0124), Days_since_last_reward(0.0123), Average_Emails_Sent(0.0054), Average_Reward_Points(0.0050), Total_Reward_Points(0.0037), Total_Rewards_Received(0.0032)"
EMP0346,TRUE,"Days_since_last_reward(0.0245), Days_since_last_activity(0.0142), Days_since_joining(0.0141), Annual_Leaves(0.0120), Mentor_Assigned(0.0104), Casual_Leaves(0.0090), Average_Work_Hours(0.0076), Latest_Work_Hours(0.0028), Total_Reward_Points(0.0021), Unpaid_Leaves(0.0021)"
EMP0077,TRUE,"Days_since_last_reward(0.0388), Average_Reward_Points(0.0359), Latest_Work_Hours(0.0143), Latest_Performance_Rating(0.0105), Average_Work_Hours(0.0102), Average_Emails_Sent(0.0086), Total_Reward_Points(0.0069), Promotion_Consideration_Ratio(0.0060), Average_Performance_Rating(0.0052), Days_since_joining(0.0047)"
EMP0023,TRUE,"Latest_Vibe_Score(0.0665), Average_Work_Hours(0.0560), Days_since_joining(0.0394), Latest_Work_Hours(0.0237), Latest_Promotion_Consideration(0.0200), Average_Team_Messages_Sent(0.0190), Promotion_Consideration_Ratio(0.0177), Average_Vibe_Score(0.0168), Latest_Performance_Rating(0.0149), Days_since_last_activity(0.0111)"
EMP0420,TRUE,"Days_since_joining(0.0445), Average_Emails_Sent(0.0228), Onboarding_Feedback(0.0198), Latest_Performance_Rating(0.0141), Average_Manager_Feedback_Score(0.0108), Latest_Work_Hours(0.0103), Promotion_Consideration_Ratio(0.0090), Days_since_last_activity(0.0069), Latest_Promotion_Consideration(0.0066), Average_Performance_Rating(0.0066)"
EMP0490,TRUE,"Latest_Vibe_Score(0.0622), Average_Vibe_Score(0.0480), Annual_Leaves(0.0199), Days_since_joining(0.0097), Days_since_last_activity(0.0079), Days_since_last_leave(0.0078), Unpaid_Leaves(0.0045), Sick_Leaves(0.0038), Average_Team_Messages_Sent(0.0036), Latest_Work_Hours(0.0020)"
EMP0339,TRUE,"Average_Performance_Rating(0.0408), Latest_Performance_Rating(0.0330), Days_since_last_leave(0.0160), Average_Emails_Sent(0.0125), Days_since_last_reward(0.0087), Average_Reward_Points(0.0083), Average_Team_Messages_Sent(0.0060), Latest_Work_Hours(0.0055), Average_Manager_Feedback_Score(0.0040), Days_since_last_activity(0.0036)"
EMP0079,TRUE,"Days_since_last_reward(0.0245), Days_since_last_activity(0.0142), Days_since_joining(0.0141), Annual_Leaves(0.0120), Mentor_Assigned(0.0104), Casual_Leaves(0.0090), Average_Work_Hours(0.0076), Latest_Work_Hours(0.0028), Total_Reward_Points(0.0021), Unpaid_Leaves(0.0021)"
EMP0449,TRUE,"Latest_Vibe_Score(0.0622), Average_Vibe_Score(0.0480), Annual_Leaves(0.0199), Days_since_joining(0.0097), Days_since_last_activity(0.0079), Days_since_last_leave(0.0078), Unpaid_Leaves(0.0045), Sick_Leaves(0.0038), Average_Team_Messages_Sent(0.0036), Latest_Work_Hours(0.0020)"
EMP0477,TRUE,"Days_since_last_reward(0.0245), Days_since_last_activity(0.0142), Days_since_joining(0.0141), Annual_Leaves(0.0120), Mentor_Assigned(0.0104), Casual_Leaves(0.0090), Average_Work_Hours(0.0076), Latest_Work_Hours(0.0028), Total_Reward_Points(0.0021), Unpaid_Leaves(0.0021)"
EMP0078,TRUE,"Mentor_Assigned(0.0219), Onboarding_Feedback(0.0182), Average_Vibe_Score(0.0146), Latest_Vibe_Score(0.0130), Days_since_last_reward(0.0101), Unpaid_Leaves(0.0057), Days_since_last_leave(0.0043), Total_Rewards_Received(0.0038), Days_since_joining(0.0021), Initial_Training_Completed(0.0000)"
EMP0098,TRUE,"Days_since_last_reward(0.0245), Days_since_last_activity(0.0142), Days_since_joining(0.0141), Annual_Leaves(0.0120), Mentor_Assigned(0.0104), Casual_Leaves(0.0090), Average_Work_Hours(0.0076), Latest_Work_Hours(0.0028), Total_Reward_Points(0.0021), Unpaid_Leaves(0.0021)"
EMP0014,TRUE,"Latest_Vibe_Score(0.0622), Average_Vibe_Score(0.0480), Annual_Leaves(0.0199), Days_since_joining(0.0097), Days_since_last_activity(0.0079), Days_since_last_leave(0.0078), Unpaid_Leaves(0.0045), Sick_Leaves(0.0038), Average_Team_Messages_Sent(0.0036), Latest_Work_Hours(0.0020)"
EMP0235,TRUE,"Latest_Work_Hours(0.0457), Average_Work_Hours(0.0219), Latest_Vibe_Score(0.0088), Average_Vibe_Score(0.0083), Average_Team_Messages_Sent(0.0079), Days_since_last_activity(0.0038), Onboarding_Feedback(0.0038), Average_Emails_Sent(0.0031), Initial_Training_Completed(0.0031), Total_Reward_Points(0.0025)"
EMP0018,TRUE,"Latest_Vibe_Score(0.0970), Average_Vibe_Score(0.0906), Days_since_joining(0.0289), Days_since_last_reward(0.0133), Average_Manager_Feedback_Score(0.0131), Total_Reward_Points(0.0126), Total_Rewards_Received(0.0100), Average_Reward_Points(0.0070), Average_Performance_Rating(0.0068), Latest_Performance_Rating(0.0062)"
EMP0001,TRUE,"Days_since_last_reward(0.0990), Average_Reward_Points(0.0153), Latest_Promotion_Consideration(0.0107), Days_since_last_leave(0.0097), Unpaid_Leaves(0.0078), Total_Reward_Points(0.0059), Onboarding_Feedback(0.0041), Days_since_joining(0.0035), Casual_Leaves(0.0029), Initial_Training_Completed(0.0017)"
EMP0107,TRUE,"Days_since_last_reward(0.0990), Average_Reward_Points(0.0153), Latest_Promotion_Consideration(0.0107), Days_since_last_leave(0.0097), Unpaid_Leaves(0.0078), Total_Reward_Points(0.0059), Onboarding_Feedback(0.0041), Days_since_joining(0.0035), Casual_Leaves(0.0029), Initial_Training_Completed(0.0017)"
EMP0466,TRUE,"Latest_Vibe_Score(0.0665), Average_Work_Hours(0.0560), Days_since_joining(0.0394), Latest_Work_Hours(0.0237), Latest_Promotion_Consideration(0.0200), Average_Team_Messages_Sent(0.0190), Promotion_Consideration_Ratio(0.0177), Average_Vibe_Score(0.0168), Latest_Performance_Rating(0.0149), Days_since_last_activity(0.0111)"
EMP0427,TRUE,"Days_since_joining(0.0000), Onboarding_Feedback(0.0000), Mentor_Assigned(0.0000), Initial_Training_Completed(0.0000), Total_Rewards_Received(0.0000), Total_Reward_Points(0.0000), Average_Reward_Points(0.0000), Days_since_last_reward(0.0000), Sick_Leaves(0.0000), Annual_Leaves(0.0000)"
EMP0275,TRUE,"Onboarding_Feedback(0.0308), Total_Reward_Points(0.0233), Average_Performance_Rating(0.0212), Average_Reward_Points(0.0192), Average_Manager_Feedback_Score(0.0142), Latest_Performance_Rating(0.0142), Days_since_joining(0.0125), Mentor_Assigned(0.0117), Initial_Training_Completed(0.0050), Days_since_last_reward(0.0042)"
EMP0306,TRUE,"Average_Vibe_Score(0.0480), Latest_Vibe_Score(0.0364), Average_Emails_Sent(0.0217), Latest_Work_Hours(0.0210), Days_since_joining(0.0171), Average_Work_Hours(0.0137), Average_Team_Messages_Sent(0.0121), Days_since_last_activity(0.0036), Mentor_Assigned(0.0023), Onboarding_Feedback(0.0014)"
EMP0294,TRUE,"Unpaid_Leaves(0.0450), Average_Vibe_Score(0.0446), Latest_Vibe_Score(0.0439), Days_since_last_leave(0.0334), Average_Reward_Points(0.0089), Casual_Leaves(0.0051), Total_Rewards_Received(0.0043), Total_Reward_Points(0.0029), Days_since_last_reward(0.0021), Sick_Leaves(0.0000)"
